City,Population,Violent_Crime,Murder,Rape (Rev),Rape(Legal),Robbery,Agg Assault,Property_Crime,Burglary,Larceny,Vehicle Theft,Arson
Elmira Town,5894,1,0,,0,1,0,4,2,2,0,0
Elmsford Village,4808,2,0,0,,2,0,36,6,21,9,0
Endicott Village,13096,75,0,4,,23,48,611,109,488,14,0
Fairport Village,5336,4,0,1,,0,3,48,10,36,2,0
Fallsburg Town,12169,12,0,2,,0,10,105,53,50,2,0
Fishkill Town,21502,7,0,,0,2,5,266,13,250,3,1
Fishkill Village,2147,0,0,0,,0,0,30,0,28,2,0
Floral Park Village,15915,9,0,,0,4,5,47,8,38,1,0
Florida Village,2865,0,0,0,,0,0,24,2,22,0,0
Fort Edward Village,3292,1,0,0,,0,1,8,2,5,1,0
Fort Plain Village,2268,7,0,1,,1,5,61,13,47,1,0
Frankfort Town,5010,1,0,0,,0,1,38,8,27,3,0
Frankfort Village,2556,0,0,0,,0,0,36,10,26,0,0
Franklinville Village,1700,3,0,,0,0,3,21,2,19,0,0
Fredonia Village,10831,9,0,1,,1,7,236,30,202,4,0
Freeport Village,43234,150,2,1,,77,70,848,98,687,63,3
Friendship Town,1950,5,0,1,,0,4,17,5,12,0,0
Fulton City,11707,15,0,,0,7,8,455,72,381,2,1
Garden City Village,22595,12,1,,0,8,3,279,25,246,8,0
Gates Town,28543,64,1,9,,21,33,1037,106,903,28,0
Geddes Town,10436,4,0,,0,2,2,244,16,221,7,0
Geneseo Village,7914,4,0,,0,1,3,112,8,103,1,0
Geneva,13184,19,0,,0,4,15,350,79,267,4,5
Germantown Town,1915,0,0,,0,0,0,3,1,1,1,0
Glen Cove,27241,6,0,,0,6,0,97,19,72,6,1
Glen Park Village,518,0,0,,0,0,0,2,0,2,0,0
Glens Falls,14518,25,0,8,,4,13,338,39,293,6,1
Glenville Town,21819,6,0,2,,1,3,470,33,431,6,2
Gloversville,15242,39,0,1,,12,26,677,99,562,16,2
Goshen Village,5375,5,0,,0,1,4,51,3,47,1,0
Gowanda Village,2662,8,0,,0,0,8,78,18,59,1,0
Granville Village,2472,1,0,,0,1,0,21,10,10,1,0
Greece Town,97144,169,1,34,,48,86,2430,296,2073,61,0
Greenburgh Town,45133,61,0,7,,20,34,602,68,511,23,0
Greene Village,1540,0,0,,0,0,0,16,2,13,1,0
Green Island Village,2620,3,0,0,,0,3,46,6,37,3,0
Greenport Town,4049,1,0,0,,0,1,169,5,162,2,0
Greenwich Village,1756,0,0,,0,0,0,20,3,17,0,0
Greenwood Lake Village,3105,3,0,1,,0,2,36,6,27,3,0
Groton Village,2417,3,0,0,,1,2,49,11,38,0,0
Guilderland Town,33958,25,4,5,,4,12,669,62,602,5,1
Hamburg Town,45656,51,0,4,,11,36,1042,124,894,24,3
Hamburg Village,9546,6,0,1,,2,3,129,21,107,1,1
Hamilton Village,4163,0,0,0,,0,0,26,7,19,0,0
Hammondsport Village,650,0,0,,0,0,0,10,4,6,0,0
Harriman Village,2486,1,0,0,,0,1,29,5,23,1,1
Harrison Town,28130,5,0,0,,0,5,129,17,111,1,0
Hastings-on-Hudson Village,7970,1,0,,0,0,1,55,3,50,2,1
Haverstraw Town,37422,46,1,,0,19,26,268,55,204,9,0
Hempstead Village,55722,477,8,,0,248,221,965,201,607,157,3
Herkimer Village,7646,55,0,,0,8,47,390,32,358,0,2
Highlands Town,8400,2,0,0,,0,2,19,3,16,0,0
Holley Village,1769,3,0,1,,0,2,35,10,24,1,0
Homer Village,3240,1,0,,0,0,1,57,14,41,2,0
Hoosick Falls Village,3436,3,0,0,,1,2,35,3,31,1,0
Hornell,8453,5,0,0,,0,5,116,13,101,2,0
Hudson,6632,27,0,6,,4,17,167,17,148,2,0
Hudson Falls Village,7305,7,0,4,,1,2,110,16,91,3,1
Huntington Bay Village,1429,0,0,,0,0,0,13,2,11,0,0
Hyde Park Town,21326,14,0,,0,4,10,137,25,107,5,0
Ilion Village,7969,13,0,2,,0,11,130,18,109,3,0
Independence Town,1188,0,0,,0,0,0,9,3,6,0,0
Inlet Town,328,0,0,0,,0,0,15,0,14,1,0
Interlaken Village,606,0,0,,0,0,0,3,0,3,0,0
Irondequoit Town,51390,74,0,9,,33,32,1414,254,1125,35,3
Irvington Village,6581,1,0,,0,0,1,18,5,13,0,0
Jamestown,30646,221,1,43,,45,132,1285,354,882,49,15
Johnson City Village,14824,44,1,3,,8,32,1090,132,950,8,1
Johnstown,8439,11,0,,0,4,7,286,26,255,5,2
Jordan Village,1346,0,0,,0,0,0,6,0,5,1,0
Kenmore Village,15216,16,0,0,,2,14,315,46,260,9,0
Kensington Village,1178,0,0,,0,0,0,0,0,0,0,0
Kent Town,13401,2,0,1,,1,0,80,19,61,0,0
Kings Point Village,5065,0,0,,0,0,0,10,0,7,3,0
Kingston,23702,67,2,5,,25,35,672,87,578,7,1
Kirkland Town,8347,2,0,0,,0,2,67,19,45,3,0
Lackawanna,17931,77,1,3,,10,63,412,86,299,27,7
Lake Placid Village,2460,2,0,,0,0,2,29,6,22,1,0
Lake Success Village,3053,2,0,0,,0,2,28,11,17,0,1
Lakewood-Busti,7265,11,0,9,,1,1,414,31,382,1,0
Lancaster Town,36760,15,0,3,,2,10,431,35,392,4,2
Larchmont Village,5971,0,0,0,,0,0,99,7,91,1,0
Le Roy Village,4325,6,0,0,,1,5,82,18,63,1,0
Lewisboro Town,12712,0,0,0,,0,0,5,0,5,0,0
Lewiston Town and Village,16145,6,0,0,,2,4,126,20,99,7,1
Liberty Village,4251,20,0,6,,3,11,215,39,170,6,0
Little Falls,4875,9,0,3,,0,6,122,15,105,2,0
Liverpool Village,2307,4,0,1,,1,2,44,5,38,1,0
Lloyd Harbor Village,3680,0,0,,0,0,0,14,0,13,1,0
Lloyd Town,10669,5,0,,0,0,5,115,12,100,3,0
Long Beach,33613,40,1,0,,12,27,264,31,226,7,1
Lowville Village,3438,6,0,1,,0,5,47,5,42,0,0
